CustomerID,VehicleID,VehicleMake,VehicleModel,VehicleYOM
Cust10000,Vehicle26917,Audi,A5,2008
Cust10001,Vehicle15893,Audi,A5,2006
Cust10002,Vehicle5152,Volkswagen,Jetta,1999
Cust10003,Vehicle37363,Volkswagen,Jetta,2003
Cust10004,Vehicle28633,Toyota,CRV,2010
Cust10005,Vehicle26409,Toyota,CRV,2011
Cust10006,Vehicle12114,Mercedes,C300,2000
Cust10007,Vehicle26987,Suburu,C300,2010
Cust10009,Vehicle12490,Volkswagen,Passat,1995
Cust1001,Vehicle28516,Saab,92x,2004
Cust10011,Vehicle8940,Nissan,Ultima,2002
Cust10012,Vehicle9379,Ford,Fusion,2004
Cust10013,Vehicle22024,Accura,Fusion,2001
Cust10014,Vehicle3601,Suburu,Impreza,2011
Cust10016,Vehicle7515,Saab,92x,2005
Cust10017,Vehicle31838,Saab,92x,2005
Cust10018,Vehicle35954,Toyota,93,2000
Cust10019,Vehicle19647,Saab,93,2000
Cust10021,Vehicle37694,Volkswagen,Passat,2006
Cust10022,Vehicle31889,Toyota,Highlander,1997
Cust10023,Vehicle10464,Toyota,Highlander,1999
Cust10024,Vehicle24452,Dodge,X5,2001
Cust10025,Vehicle12734,Dodge,X5,2002
Cust10026,Vehicle14492,Volkswagen,Passat,2001
Cust10027,Vehicle38970,Saab,Passat,1995
Cust10028,Vehicle3996,Honda,Accord,2015
Cust10029,Vehicle12477,Toyota,Corolla,2015
Cust10030,Vehicle34293,Ford,Forrestor,2006
Cust10031,Vehicle33775,Suburu,F150,2005
Cust10032,Vehicle34708,Nissan,Pathfinder,2012
Cust10034,Vehicle26030,Saab,92x,2006
Cust10035,Vehicle3961,Saab,Jetta,2007
Cust10037,Vehicle38667,Dodge,Neon,2012
Cust1004,Vehicle17051,Chevrolet,Tahoe,2014
Cust10040,Vehicle7284,Audi,Wrangler,2007
Cust10041,Vehicle2119,Jeep,A3,2008
Cust10042,Vehicle7459,Accura,A5,1997
Cust10043,Vehicle6244,Accura,RSX,2010
Cust10044,Vehicle38446,Chevrolet,Malibu,1998
Cust10046,Vehicle3199,Audi,A5,2011
Cust10047,Vehicle13780,Audi,A5,2009
Cust10049,Vehicle35318,Ford,F150,2008
Cust1005,Vehicle26158,Accura,RSX,2009
Cust10051,Vehicle33864,Dodge,E400,2014
Cust10052,Vehicle16314,Honda,Legacy,2002
Cust10053,Vehicle35570,Suburu,Legacy,2000
Cust10054,Vehicle13054,Audi,Ultima,2006
Cust10057,Vehicle23410,Suburu,Legacy,2005
Cust10058,Vehicle24044,BMW,92x,2005
Cust10059,Vehicle25575,BMW,X5,2006
Cust1006,Vehicle32811,Saab,95,2003
Cust10061,Vehicle14739,Mercedes,Highlander,2007
Cust10063,Vehicle23287,Saab,95,2007
Cust10064,Vehicle31400,Volkswagen,Passat,2009
Cust10065,Vehicle24321,Volkswagen,Passat,2011
Cust10067,Vehicle32820,Accura,Grand Cherokee,2010
Cust10068,Vehicle3932,Ford,Fusion,2011
Cust1007,Vehicle32845,Nissan,Pathfinder,2012
Cust10072,Vehicle35450,Saab,95,2002
Cust10073,Vehicle25696,Saab,95,2015
Cust10076,Vehicle25747,Saab,93,2009
Cust10078,Vehicle17205,Ford,E400,2006
Cust10079,Vehicle36160,Ford,E400,2005
Cust10080,Vehicle7847,Audi,A5,2002
Cust10081,Vehicle22413,Audi,A5,2004
Cust10082,Vehicle4416,Honda,Escape,2003
Cust10083,Vehicle2648,Honda,Civic,2001
Cust10084,Vehicle3533,Audi,Corolla,2003
Cust10085,Vehicle24833,Toyota,Corolla,2004
Cust10086,Vehicle8179,Jeep,Wrangler,2006
Cust10087,Vehicle26420,Suburu,Forrestor,2002
Cust10088,Vehicle35175,Chevrolet,Silverado,2004
Cust10089,Vehicle24958,Dodge,RAM,2009
Cust1009,Vehicle30643,Toyota,Camry,2012
Cust10090,Vehicle13414,Ford,X5,2000
Cust10091,Vehicle28521,BMW,X5,1999
Cust10092,Vehicle21302,BMW,M5,2008
Cust10093,Vehicle6499,BMW,M5,2007
Cust10094,Vehicle3524,Jeep,3 Series,2005
Cust10096,Vehicle35542,Chevrolet,Tahoe,2003
Cust10097,Vehicle16754,Chevrolet,Tahoe,2003
Cust10098,Vehicle4449,Jeep,Grand Cherokee,2008
Cust10099,Vehicle20644,Jeep,C300,1995
Cust1010,Vehicle3056,Saab,92x,1996
Cust10101,Vehicle29211,Saab,RAM,1997
Cust10104,Vehicle22206,Audi,ML350,2008
Cust10105,Vehicle27865,Mercedes,A3,2013
Cust10107,Vehicle16351,Jeep,Grand Cherokee,2006
Cust10108,Vehicle8336,Suburu,Wrangler,1998
Cust10109,Vehicle39646,Suburu,Wrangler,1999
Cust1011,Vehicle16951,Ford,F150,2002
Cust10110,Vehicle12651,Accura,RSX,2008
Cust10111,Vehicle17647,BMW,X5,2007
Cust10112,Vehicle21679,Chevrolet,Jetta,1995
Cust10113,Vehicle5082,Volkswagen,Tahoe,1995
Cust10114,Vehicle8028,Toyota,Malibu,2002
Cust10117,Vehicle10449,Toyota,Corolla,2006
Cust1012,Vehicle29180,Audi,A3,2006
Cust10120,Vehicle4618,BMW,X5,2012
Cust10121,Vehicle21925,BMW,X5,2012
Cust10123,Vehicle1957,Nissan,Maxima,2011
Cust10124,Vehicle10142,Ford,Escape,2012
Cust10125,Vehicle5297,Nissan,Maxima,2011
Cust10126,Vehicle15006,Saab,93,1996
Cust10127,Vehicle24996,Dodge,Neon,1999
Cust10128,Vehicle17625,Saab,93,2005
Cust10129,Vehicle18406,Saab,93,2005
Cust1013,Vehicle17919,Saab,95,2000
Cust10131,Vehicle14295,Dodge,RAM,1999
Cust10133,Vehicle25706,Honda,C300,2007
Cust10135,Vehicle12546,Dodge,Neon,1996
Cust10136,Vehicle26763,Honda,Legacy,1996
Cust10137,Vehicle32953,Suburu,CRV,1997
Cust10138,Vehicle26258,Audi,A5,2002
Cust1014,Vehicle14290,Toyota,Highlander,2010
Cust10140,Vehicle28473,Nissan,Pathfinder,2010
Cust10141,Vehicle17812,Nissan,Pathfinder,2011
Cust10142,Vehicle8695,Dodge,95,2005
Cust10143,Vehicle34945,Dodge,95,2005
Cust10144,Vehicle24268,Dodge,RAM,1996
Cust10145,Vehicle21157,Dodge,Neon,2001
Cust10146,Vehicle3452,Jeep,Grand Cherokee,2008
Cust10148,Vehicle33592,Chevrolet,Malibu,2014
Cust10149,Vehicle29577,Chevrolet,Malibu,2014
Cust1015,Vehicle13667,Dodge,Neon,2003
Cust10150,Vehicle34947,Jeep,Grand Cherokee,2007
Cust10152,Vehicle14864,Volkswagen,Malibu,2009
Cust10153,Vehicle39767,Chevrolet,Jetta,2009
Cust10154,Vehicle14027,Ford,Neon,2012
Cust10155,Vehicle31181,Dodge,Fusion,2011
Cust10156,Vehicle19932,Dodge,RAM,2004
Cust10157,Vehicle6069,BMW,RAM,2004
Cust10158,Vehicle3979,Toyota,Camry,2006
Cust10159,Vehicle4294,Toyota,Camry,2008
Cust10160,Vehicle20756,Chevrolet,Tahoe,1996
Cust10162,Vehicle9781,Audi,A3,2004
Cust10163,Vehicle7367,Audi,A3,2003
Cust10164,Vehicle30999,Suburu,MDX,2003
Cust10165,Vehicle29646,Suburu,Forrestor,2002
Cust10166,Vehicle28348,Saab,92x,2010
Cust10167,Vehicle39751,Saab,92x,2011
Cust10169,Vehicle9673,Ford,Escape,2006
Cust1017,Vehicle33419,Nissan,Maxima,2012
Cust10170,Vehicle14652,Dodge,Neon,2010
Cust10171,Vehicle14334,Chevrolet,Neon,2008
Cust10172,Vehicle35018,Mercedes,Wrangler,2001
Cust10173,Vehicle9426,Mercedes,E400,1999
